year,total_imported_kg,estimated_synthetic_kg
2012,251124168.48523462,173275676.25481188
2013,259735834.1721564,179217725.5787879
2014,265926246.63383532,183489110.17734635
2015,262245889.88315535,180949664.01937717
2016,265926552.14139995,183489320.97756594
2017,271908253.5258502,187616694.93283662
2018,270203119.8029776,186440152.66405454
2019,270534755.05246437,186668980.9862004
2020,281142829.9428944,193988552.66059712
2021,289443126.4391492,199715757.24301293
2022,290809040.796975,200658238.14991274
2023,263621538.60351327,181898861.63642415
2024,268707785.44119567,185408371.954425
2025,284053675.4558392,195997036.06452903
2026,163100795.63942745,112539548.99120493
